Group,Artifact,Version,GitHub Link
androidx.room,room-compiler,2.6.1,https://github.com/dessalines/jerboa
androidx.room,room-common,2.6.1,https://github.com/dessalines/jerboa
androidx.annotation,annotation,1.3.0,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.8.22,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 1.9.0,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-common,1.9.0,https://github.com/dessalines/jerboa
org.jetbrains,annotations,13.0,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk7,1.8.22,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 1.9.0 (*),https://github.com/dessalines/jerboa
androidx.room,room-compiler,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler-processing,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-migration,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler-processing,2.6.1,https://github.com/dessalines/jerboa
com.google.auto,auto-common,0.11,https://github.com/dessalines/jerboa
com.google.guava,guava,29.0-jre -> 31.1-jre,https://github.com/dessalines/jerboa
com.google.guava,failureaccess,1.0.1,https://github.com/dessalines/jerboa
com.google.guava,listenablefuture,9999.0-empty-to-avoid-conflict-with-guava,https://github.com/dessalines/jerboa
com.google.code.findbugs,jsr305,3.0.2,https://github.com/dessalines/jerboa
org.checkerframework,checker-qual,3.12.0,https://github.com/dessalines/jerboa
com.google.errorprone,error_prone_annotations,2.11.0,https://github.com/dessalines/jerboa
com.google.j2objc,j2objc-annotations,1.3,https://github.com/dessalines/jerboa
com.google.auto.value,auto-value-annotations,1.6.3,https://github.com/dessalines/jerboa
com.google.devtools.ksp,symbol-processing-api,1.9.0-1.0.13,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.9.0 (*),https://github.com/dessalines/jerboa
com.google.guava,guava,31.1-jre (*),https://github.com/dessalines/jerboa
com.intellij,annotations,12.0,https://github.com/dessalines/jerboa
com.squareup,javapoet,1.13.0,https://github.com/dessalines/jerboa
com.squareup,kotlinpoet,1.14.2,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-reflect,1.8.21,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.21 -> 1.9.0 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.8.21 -> 1.8.22 (*),https://github.com/dessalines/jerboa
com.squareup,kotlinpoet-javapoet,1.14.2,https://github.com/dessalines/jerboa
com.squareup,kotlinpoet,1.14.2 (*),https://github.com/dessalines/jerboa
com.squareup,javapoet,1.13.0,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.8.21 -> 1.8.22 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 1.9.0 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.8.22 (*),https://github.com/dessalines/jerboa
androidx.room,room-common,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-migration,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-migration,2.6.1,https://github.com/dessalines/jerboa
androidx.room,room-common,2.6.1 (*),https://github.com/dessalines/jerboa
com.google.code.gson,gson,2.9.0,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 1.9.0 (*),https://github.com/dessalines/jerboa
androidx.room,room-common,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler-processing,2.6.1 (c),https://github.com/dessalines/jerboa
com.google.auto,auto-common,0.11 (*),https://github.com/dessalines/jerboa
com.google.auto.value,auto-value-annotations,1.6.3,https://github.com/dessalines/jerboa
com.google.devtools.ksp,symbol-processing-api,1.9.0-1.0.13 (*),https://github.com/dessalines/jerboa
com.intellij,annotations,12.0,https://github.com/dessalines/jerboa
com.squareup,javapoet,1.13.0,https://github.com/dessalines/jerboa
com.squareup,kotlinpoet,1.14.2 (*),https://github.com/dessalines/jerboa
com.squareup,kotlinpoet-javapoet,1.14.2 (*),https://github.com/dessalines/jerboa
commons-codec,commons-codec,1.15,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 1.9.0 (*),https://github.com/dessalines/jerboa
org.xerial,sqlite-jdbc,3.41.2.2,https://github.com/dessalines/jerboa
androidx.room,room-common,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler-processing,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-migration,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler,2.6.1,https://github.com/dessalines/jerboa
androidx.room,room-common,2.6.1,https://github.com/dessalines/jerboa
androidx.annotation,annotation,1.3.0,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.8.22,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 1.9.0,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-common,1.9.0,https://github.com/dessalines/jerboa
org.jetbrains,annotations,13.0,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk7,1.8.22,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 1.9.0 (*),https://github.com/dessalines/jerboa
androidx.room,room-compiler,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler-processing,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-migration,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler-processing,2.6.1,https://github.com/dessalines/jerboa
com.google.auto,auto-common,0.11,https://github.com/dessalines/jerboa
com.google.guava,guava,29.0-jre -> 31.1-jre,https://github.com/dessalines/jerboa
com.google.guava,failureaccess,1.0.1,https://github.com/dessalines/jerboa
com.google.guava,listenablefuture,9999.0-empty-to-avoid-conflict-with-guava,https://github.com/dessalines/jerboa
com.google.code.findbugs,jsr305,3.0.2,https://github.com/dessalines/jerboa
org.checkerframework,checker-qual,3.12.0,https://github.com/dessalines/jerboa
com.google.errorprone,error_prone_annotations,2.11.0,https://github.com/dessalines/jerboa
com.google.j2objc,j2objc-annotations,1.3,https://github.com/dessalines/jerboa
com.google.auto.value,auto-value-annotations,1.6.3,https://github.com/dessalines/jerboa
com.google.devtools.ksp,symbol-processing-api,1.9.0-1.0.13,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.9.0 (*),https://github.com/dessalines/jerboa
com.google.guava,guava,31.1-jre (*),https://github.com/dessalines/jerboa
com.intellij,annotations,12.0,https://github.com/dessalines/jerboa
com.squareup,javapoet,1.13.0,https://github.com/dessalines/jerboa
com.squareup,kotlinpoet,1.14.2,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-reflect,1.8.21,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.21 -> 1.9.0 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.8.21 -> 1.8.22 (*),https://github.com/dessalines/jerboa
com.squareup,kotlinpoet-javapoet,1.14.2,https://github.com/dessalines/jerboa
com.squareup,kotlinpoet,1.14.2 (*),https://github.com/dessalines/jerboa
com.squareup,javapoet,1.13.0,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.8.21 -> 1.8.22 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 1.9.0 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.8.22 (*),https://github.com/dessalines/jerboa
androidx.room,room-common,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-migration,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-migration,2.6.1,https://github.com/dessalines/jerboa
androidx.room,room-common,2.6.1 (*),https://github.com/dessalines/jerboa
com.google.code.gson,gson,2.9.0,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 1.9.0 (*),https://github.com/dessalines/jerboa
androidx.room,room-common,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler-processing,2.6.1 (c),https://github.com/dessalines/jerboa
com.google.auto,auto-common,0.11 (*),https://github.com/dessalines/jerboa
com.google.auto.value,auto-value-annotations,1.6.3,https://github.com/dessalines/jerboa
com.google.devtools.ksp,symbol-processing-api,1.9.0-1.0.13 (*),https://github.com/dessalines/jerboa
com.intellij,annotations,12.0,https://github.com/dessalines/jerboa
com.squareup,javapoet,1.13.0,https://github.com/dessalines/jerboa
com.squareup,kotlinpoet,1.14.2 (*),https://github.com/dessalines/jerboa
com.squareup,kotlinpoet-javapoet,1.14.2 (*),https://github.com/dessalines/jerboa
commons-codec,commons-codec,1.15,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 1.9.0 (*),https://github.com/dessalines/jerboa
org.xerial,sqlite-jdbc,3.41.2.2,https://github.com/dessalines/jerboa
androidx.room,room-common,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler-processing,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-migration,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler,2.6.1,https://github.com/dessalines/jerboa
androidx.room,room-common,2.6.1,https://github.com/dessalines/jerboa
androidx.annotation,annotation,1.3.0,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.8.22,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 1.9.0,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-common,1.9.0,https://github.com/dessalines/jerboa
org.jetbrains,annotations,13.0,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk7,1.8.22,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 1.9.0 (*),https://github.com/dessalines/jerboa
androidx.room,room-compiler,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler-processing,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-migration,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler-processing,2.6.1,https://github.com/dessalines/jerboa
com.google.auto,auto-common,0.11,https://github.com/dessalines/jerboa
com.google.guava,guava,29.0-jre -> 31.1-jre,https://github.com/dessalines/jerboa
com.google.guava,failureaccess,1.0.1,https://github.com/dessalines/jerboa
com.google.guava,listenablefuture,9999.0-empty-to-avoid-conflict-with-guava,https://github.com/dessalines/jerboa
com.google.code.findbugs,jsr305,3.0.2,https://github.com/dessalines/jerboa
org.checkerframework,checker-qual,3.12.0,https://github.com/dessalines/jerboa
com.google.errorprone,error_prone_annotations,2.11.0,https://github.com/dessalines/jerboa
com.google.j2objc,j2objc-annotations,1.3,https://github.com/dessalines/jerboa
com.google.auto.value,auto-value-annotations,1.6.3,https://github.com/dessalines/jerboa
com.google.devtools.ksp,symbol-processing-api,1.9.0-1.0.13,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.9.0 (*),https://github.com/dessalines/jerboa
com.google.guava,guava,31.1-jre (*),https://github.com/dessalines/jerboa
com.intellij,annotations,12.0,https://github.com/dessalines/jerboa
com.squareup,javapoet,1.13.0,https://github.com/dessalines/jerboa
com.squareup,kotlinpoet,1.14.2,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-reflect,1.8.21,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.21 -> 1.9.0 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.8.21 -> 1.8.22 (*),https://github.com/dessalines/jerboa
com.squareup,kotlinpoet-javapoet,1.14.2,https://github.com/dessalines/jerboa
com.squareup,kotlinpoet,1.14.2 (*),https://github.com/dessalines/jerboa
com.squareup,javapoet,1.13.0,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.8.21 -> 1.8.22 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 1.9.0 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.8.22 (*),https://github.com/dessalines/jerboa
androidx.room,room-common,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-migration,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-migration,2.6.1,https://github.com/dessalines/jerboa
androidx.room,room-common,2.6.1 (*),https://github.com/dessalines/jerboa
com.google.code.gson,gson,2.9.0,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 1.9.0 (*),https://github.com/dessalines/jerboa
androidx.room,room-common,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler-processing,2.6.1 (c),https://github.com/dessalines/jerboa
com.google.auto,auto-common,0.11 (*),https://github.com/dessalines/jerboa
com.google.auto.value,auto-value-annotations,1.6.3,https://github.com/dessalines/jerboa
com.google.devtools.ksp,symbol-processing-api,1.9.0-1.0.13 (*),https://github.com/dessalines/jerboa
com.intellij,annotations,12.0,https://github.com/dessalines/jerboa
com.squareup,javapoet,1.13.0,https://github.com/dessalines/jerboa
com.squareup,kotlinpoet,1.14.2 (*),https://github.com/dessalines/jerboa
com.squareup,kotlinpoet-javapoet,1.14.2 (*),https://github.com/dessalines/jerboa
commons-codec,commons-codec,1.15,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 1.9.0 (*),https://github.com/dessalines/jerboa
org.xerial,sqlite-jdbc,3.41.2.2,https://github.com/dessalines/jerboa
androidx.room,room-common,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler-processing,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-migration,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler,2.6.1,https://github.com/dessalines/jerboa
androidx.room,room-common,2.6.1,https://github.com/dessalines/jerboa
androidx.annotation,annotation,1.3.0,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.8.22,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 1.9.0,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-common,1.9.0,https://github.com/dessalines/jerboa
org.jetbrains,annotations,13.0,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk7,1.8.22,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 1.9.0 (*),https://github.com/dessalines/jerboa
androidx.room,room-compiler,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler-processing,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-migration,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler-processing,2.6.1,https://github.com/dessalines/jerboa
com.google.auto,auto-common,0.11,https://github.com/dessalines/jerboa
com.google.guava,guava,29.0-jre -> 31.1-jre,https://github.com/dessalines/jerboa
com.google.guava,failureaccess,1.0.1,https://github.com/dessalines/jerboa
com.google.guava,listenablefuture,9999.0-empty-to-avoid-conflict-with-guava,https://github.com/dessalines/jerboa
com.google.code.findbugs,jsr305,3.0.2,https://github.com/dessalines/jerboa
org.checkerframework,checker-qual,3.12.0,https://github.com/dessalines/jerboa
com.google.errorprone,error_prone_annotations,2.11.0,https://github.com/dessalines/jerboa
com.google.j2objc,j2objc-annotations,1.3,https://github.com/dessalines/jerboa
com.google.auto.value,auto-value-annotations,1.6.3,https://github.com/dessalines/jerboa
com.google.devtools.ksp,symbol-processing-api,1.9.0-1.0.13,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.9.0 (*),https://github.com/dessalines/jerboa
com.google.guava,guava,31.1-jre (*),https://github.com/dessalines/jerboa
com.intellij,annotations,12.0,https://github.com/dessalines/jerboa
com.squareup,javapoet,1.13.0,https://github.com/dessalines/jerboa
com.squareup,kotlinpoet,1.14.2,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-reflect,1.8.21,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.21 -> 1.9.0 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.8.21 -> 1.8.22 (*),https://github.com/dessalines/jerboa
com.squareup,kotlinpoet-javapoet,1.14.2,https://github.com/dessalines/jerboa
com.squareup,kotlinpoet,1.14.2 (*),https://github.com/dessalines/jerboa
com.squareup,javapoet,1.13.0,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.8.21 -> 1.8.22 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 1.9.0 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.8.22 (*),https://github.com/dessalines/jerboa
androidx.room,room-common,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-migration,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-migration,2.6.1,https://github.com/dessalines/jerboa
androidx.room,room-common,2.6.1 (*),https://github.com/dessalines/jerboa
com.google.code.gson,gson,2.9.0,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 1.9.0 (*),https://github.com/dessalines/jerboa
androidx.room,room-common,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler-processing,2.6.1 (c),https://github.com/dessalines/jerboa
com.google.auto,auto-common,0.11 (*),https://github.com/dessalines/jerboa
com.google.auto.value,auto-value-annotations,1.6.3,https://github.com/dessalines/jerboa
com.google.devtools.ksp,symbol-processing-api,1.9.0-1.0.13 (*),https://github.com/dessalines/jerboa
com.intellij,annotations,12.0,https://github.com/dessalines/jerboa
com.squareup,javapoet,1.13.0,https://github.com/dessalines/jerboa
com.squareup,kotlinpoet,1.14.2 (*),https://github.com/dessalines/jerboa
com.squareup,kotlinpoet-javapoet,1.14.2 (*),https://github.com/dessalines/jerboa
commons-codec,commons-codec,1.15,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.8.22 -> 1.9.0 (*),https://github.com/dessalines/jerboa
org.xerial,sqlite-jdbc,3.41.2.2,https://github.com/dessalines/jerboa
androidx.room,room-common,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-compiler-processing,2.6.1 (c),https://github.com/dessalines/jerboa
androidx.room,room-migration,2.6.1 (c),https://github.com/dessalines/jerboa
com.android.tools.utp,android-device-provider-ddmlib,31.7.3,https://github.com/dessalines/jerboa
com.android.tools,common,31.7.3,https://github.com/dessalines/jerboa
com.android.tools,annotations,31.7.3,https://github.com/dessalines/jerboa
com.google.guava,guava,32.0.1-jre,https://github.com/dessalines/jerboa
com.google.guava,failureaccess,1.0.1,https://github.com/dessalines/jerboa
com.google.guava,listenablefuture,9999.0-empty-to-avoid-conflict-with-guava,https://github.com/dessalines/jerboa
com.google.code.findbugs,jsr305,3.0.2,https://github.com/dessalines/jerboa
org.checkerframework,checker-qual,3.33.0,https://github.com/dessalines/jerboa
com.google.errorprone,error_prone_annotations,2.18.0,https://github.com/dessalines/jerboa
com.google.j2objc,j2objc-annotations,2.8,https://github.com/dessalines/jerboa
net.java.dev.jna,jna-platform,5.6.0,https://github.com/dessalines/jerboa
net.java.dev.jna,jna,5.6.0,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.9.20,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.9.20,https://github.com/dessalines/jerboa
org.jetbrains,annotations,13.0 -> 23.0.0,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk7,1.8.0 -> 1.9.20 (c),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.8.0 -> 1.9.20 (c),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-common,1.9.20 (c),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk7,1.9.20,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.9.20 (*),https://github.com/dessalines/jerboa
com.android.tools.ddms,ddmlib,31.7.3,https://github.com/dessalines/jerboa
com.android.tools,common,31.7.3 (*),https://github.com/dessalines/jerboa
com.google.protobuf,protobuf-java,3.22.3,https://github.com/dessalines/jerboa
net.sf.kxml,kxml2,2.3.0,https://github.com/dessalines/jerboa
org.jetbrains,annotations,23.0.0,https://github.com/dessalines/jerboa
com.google.protobuf,protobuf-java,3.22.3,https://github.com/dessalines/jerboa
com.android.tools.utp,android-device-provider-ddmlib-proto,31.7.3,https://github.com/dessalines/jerboa
com.google.protobuf,protobuf-java,3.22.3,https://github.com/dessalines/jerboa
com.android.tools.utp,android-device-provider-profile,31.7.3,https://github.com/dessalines/jerboa
com.android.tools,common,31.7.3 (*),https://github.com/dessalines/jerboa
com.google.protobuf,protobuf-java,3.22.3,https://github.com/dessalines/jerboa
com.android.tools.utp,android-device-provider-profile-proto,31.7.3,https://github.com/dessalines/jerboa
com.google.protobuf,protobuf-java,3.22.3,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.9.20 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.9.20 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlinx,kotlinx-coroutines-core,1.6.4,https://github.com/dessalines/jerboa
org.jetbrains.kotlinx,kotlinx-coroutines-core-jvm,1.6.4,https://github.com/dessalines/jerboa
org.jetbrains.kotlinx,kotlinx-coroutines-bom,1.6.4,https://github.com/dessalines/jerboa
org.jetbrains.kotlinx,kotlinx-coroutines-core-jvm,1.6.4 (c),https://github.com/dessalines/jerboa
org.jetbrains.kotlinx,kotlinx-coroutines-core,1.6.4 (c),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.6.21 -> 1.9.20 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-common,1.6.21 -> 1.9.20,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.9.20 (*),https://github.com/dessalines/jerboa
com.google.testing.platform,core-proto,0.0.9-alpha02,https://github.com/dessalines/jerboa
com.google.testing.platform,android-device-provider-local,0.0.9-alpha02,https://github.com/dessalines/jerboa
com.android.tools.utp,android-device-provider-gradle,31.7.3,https://github.com/dessalines/jerboa
com.android.tools,common,31.7.3,https://github.com/dessalines/jerboa
com.android.tools,annotations,31.7.3,https://github.com/dessalines/jerboa
com.google.guava,guava,32.0.1-jre,https://github.com/dessalines/jerboa
com.google.guava,failureaccess,1.0.1,https://github.com/dessalines/jerboa
com.google.guava,listenablefuture,9999.0-empty-to-avoid-conflict-with-guava,https://github.com/dessalines/jerboa
com.google.code.findbugs,jsr305,3.0.2,https://github.com/dessalines/jerboa
org.checkerframework,checker-qual,3.33.0,https://github.com/dessalines/jerboa
com.google.errorprone,error_prone_annotations,2.18.0,https://github.com/dessalines/jerboa
com.google.j2objc,j2objc-annotations,2.8,https://github.com/dessalines/jerboa
net.java.dev.jna,jna-platform,5.6.0,https://github.com/dessalines/jerboa
net.java.dev.jna,jna,5.6.0,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.9.20,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.9.20,https://github.com/dessalines/jerboa
org.jetbrains,annotations,13.0,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk7,1.8.0 -> 1.9.20 (c),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.8.0 -> 1.9.20 (c),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk7,1.9.20,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.9.20 (*),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.9.20 (*),https://github.com/dessalines/jerboa
com.google.protobuf,protobuf-java,3.22.3,https://github.com/dessalines/jerboa
com.android.tools.utp,android-device-provider-gradle-proto,31.7.3,https://github.com/dessalines/jerboa
com.google.protobuf,protobuf-java,3.22.3,https://github.com/dessalines/jerboa
com.android.tools.utp,android-device-provider-profile,31.7.3,https://github.com/dessalines/jerboa
com.android.tools,common,31.7.3 (*),https://github.com/dessalines/jerboa
com.google.protobuf,protobuf-java,3.22.3,https://github.com/dessalines/jerboa
com.android.tools.utp,android-device-provider-profile-proto,31.7.3,https://github.com/dessalines/jerboa
com.google.protobuf,protobuf-java,3.22.3,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.9.20 (*),https://github.com/dessalines/jerboa
com.google.testing.platform,core-proto,0.0.9-alpha02,https://github.com/dessalines/jerboa
com.google.testing.platform,android-device-provider-local,0.0.9-alpha02,https://github.com/dessalines/jerboa
com.google.testing.platform,android-driver-instrumentation,0.0.9-alpha02,https://github.com/dessalines/jerboa
com.google.testing.platform,android-test-plugin,0.0.9-alpha02,https://github.com/dessalines/jerboa
com.android.tools.utp,android-test-plugin-host-additional-test-output,31.7.3,https://github.com/dessalines/jerboa
com.android.tools,common,31.7.3,https://github.com/dessalines/jerboa
com.android.tools,annotations,31.7.3,https://github.com/dessalines/jerboa
com.google.guava,guava,32.0.1-jre,https://github.com/dessalines/jerboa
com.google.guava,failureaccess,1.0.1,https://github.com/dessalines/jerboa
com.google.guava,listenablefuture,9999.0-empty-to-avoid-conflict-with-guava,https://github.com/dessalines/jerboa
com.google.code.findbugs,jsr305,3.0.2,https://github.com/dessalines/jerboa
org.checkerframework,checker-qual,3.33.0,https://github.com/dessalines/jerboa
com.google.errorprone,error_prone_annotations,2.18.0,https://github.com/dessalines/jerboa
com.google.j2objc,j2objc-annotations,2.8,https://github.com/dessalines/jerboa
net.java.dev.jna,jna-platform,5.6.0,https://github.com/dessalines/jerboa
net.java.dev.jna,jna,5.6.0,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.9.20,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib,1.9.20,https://github.com/dessalines/jerboa
org.jetbrains,annotations,13.0,https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk7,1.8.0 -> 1.9.20 (c),https://github.com/dessalines/jerboa
org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.8.0 -> 1.9.20 (c),https://github.com/dessalines/jerboa
